dataset,method,100,200,300,400,500
com-dblp.ungraph,SandIMIN-BEST,205.002333,301.0555,380.0645,451.066,509.319
com-dblp.ungraph,SandIMIN-LB,205.062333,301.2525,380.14,451.231,509.282
com-dblp.ungraph,SandIMIN-UB,183.759333,270.2895,341.282,412.678,440.083
com-dblp.ungraph,SandIMIN-OR,146.146667,203.894,297.576,367.168,429.768
com-youtube.ungraph,SandIMIN-BEST,5519.25,6682.3,7386.39,7940.2,8210.13
com-youtube.ungraph,SandIMIN-LB,5515.81,6676.26,7392.82,7939.22,8207.13
com-youtube.ungraph,SandIMIN-UB,5157.47,5728.73,6537.28,7112.57,7326.33
com-youtube.ungraph,SandIMIN-OR,4895.22,5687.51,6226.61,6609.86,6741.93
email-EuAll,SandIMIN-BEST,457.285333,592.767,669.0265,801.0685,900.89
email-EuAll,SandIMIN-LB,457.225,593.22,697.081,800.743,900.8015
email-EuAll,SandIMIN-UB,405.253667,544.378,637.006,747.9935,852.61
email-EuAll,SandIMIN-OR,327.263,454.9215,564.7115,641.895,691.678
p2p-Gnutella31,SandIMIN-BEST,4246.8975,4323.8,4350.264286,4377.984286,4353.727143
p2p-Gnutella31,SandIMIN-LB,4198.9825,4292.494286,4313.368571,,
p2p-Gnutella31,SandIMIN-UB,3841.25,3878.291429,3927.424286,,
p2p-Gnutella31,SandIMIN-OR,4246.91625,4323.795714,4350.264286,,
