dataset,method,10,20,30,40,50
com-dblp.ungraph,SandIMIN-BEST,205.002333,284.586,334.402,351.052,385.5165
com-dblp.ungraph,SandIMIN-LB,205.062333,284.410667,335.457,350.059,410.635
com-dblp.ungraph,SandIMIN-UB,183.759333,256.640333,296.1585,303.546,365.2225
com-dblp.ungraph,SandIMIN-OR,146.146667,220.002,284.0675,291.593,331.4005
com-youtube.ungraph,SandIMIN-BEST,5519.25,9123.35,10122.6,11248.0,
com-youtube.ungraph,SandIMIN-LB,5515.81,9377.84,10135.6,11985.4,
com-youtube.ungraph,SandIMIN-UB,5157.47,8582.79,9574.5,11253.4,
com-youtube.ungraph,SandIMIN-OR,4895.22,9119.27,9902.9,11634.3,
email-EuAll,SandIMIN-BEST,457.285333,835.465667,1006.963667,1395.783333,1632.425
email-EuAll,SandIMIN-LB,457.225,871.927667,1043.656667,1396.11,1631.685
email-EuAll,SandIMIN-UB,405.253667,758.275,938.516333,1257.806667,1450.215
email-EuAll,SandIMIN-OR,327.263,595.908,806.790333,1242.996667,1340.11
p2p-Gnutella31,SandIMIN-BEST,4246.8975,4352.6425,5024.2525,5545.111429,9548.717143
p2p-Gnutella31,SandIMIN-LB,4198.9825,4352.26375,5025.48875,5548.468571,9548.007143
p2p-Gnutella31,SandIMIN-UB,3841.25,3813.205,4317.54875,4796.235714,8156.154286
p2p-Gnutella31,SandIMIN-OR,4246.91625,4124.08375,3458.48125,4291.39,8206.301429
