dataset,method,10,20,30,40,50
com-dblp.ungraph,SandIMIN-BEST,4525.57,4621.83,2109.435,2205.93,2630.06
com-dblp.ungraph,SandIMIN-LB,353.201667,196.983,181.9495,168.4855,162.207
com-dblp.ungraph,SandIMIN-UB,3628.53,4234.143333,1823.48,1976.52,2524.78
com-dblp.ungraph,SandIMIN-OR,0.003694,0.003876,0.002563,0.003237,0.006344
com-youtube.ungraph,SandIMIN-BEST,4931.57,3086.05,3018.83,4400.48,
com-youtube.ungraph,SandIMIN-LB,640.3985,682.745,702.197,1270.91,
com-youtube.ungraph,SandIMIN-UB,4430.61,2883.17,2858.16,4271.43,
com-youtube.ungraph,SandIMIN-OR,0.016139,0.004321,0.012657,0.008539,
email-EuAll,SandIMIN-BEST,575.753667,404.230333,428.937,409.035333,377.162
email-EuAll,SandIMIN-LB,125.173133,114.6603,168.640333,195.647667,194.26
email-EuAll,SandIMIN-UB,376.772667,295.106,351.303667,347.752667,323.7355
email-EuAll,SandIMIN-OR,0.003601,0.0079,0.002917,0.007313,0.008422
p2p-Gnutella31,SandIMIN-BEST,138.711212,67.163325,64.018113,66.304057,90.067529
p2p-Gnutella31,SandIMIN-LB,20.412835,21.149775,28.924937,33.384929,53.564671
p2p-Gnutella31,SandIMIN-UB,31.836263,38.251,50.619588,57.608786,84.171457
p2p-Gnutella31,SandIMIN-OR,0.000398,0.000637,0.000543,0.000499,0.001151
