algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	email-EuAll	100	40	BEST	8021.8	6625.28	1396.52	438.691	NA	OK
SandIMIN	email-EuAll	100	40	LB	8021.8	6624.28	1397.52	168.791	NA	OK
SandIMIN	email-EuAll	100	40	UB	8021.8	6722.12	1299.68	378.165	0.234539	OK
SandIMIN	email-EuAll	100	40	OR	8021.8	6779.43	1242.37	0.00438837	NA	OK
SandIMIN	email-EuAll	100	40	BEST	8030.15	6625.09	1405.06	359.012	NA	OK
SandIMIN	email-EuAll	100	40	LB	8030.15	6625.11	1405.04	191.578	NA	OK
SandIMIN	email-EuAll	100	40	UB	8030.15	6814.77	1215.38	300.353	0.211351	OK
SandIMIN	email-EuAll	100	40	OR	8030.15	6776.83	1253.32	0.00629125	NA	OK
SandIMIN	email-EuAll	100	40	BEST	8011.43	6625.66	1385.77	429.403	NA	OK
SandIMIN	email-EuAll	100	40	LB	8011.43	6625.65	1385.77	226.574	NA	OK
SandIMIN	email-EuAll	100	40	UB	8011.43	6753.06	1258.36	364.74	0.192509	OK
SandIMIN	email-EuAll	100	40	OR	8011.43	6778.13	1233.3	0.0112583	NA	OK
