algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	p2p-Gnutella31	100	20	BEST	4895.69	592.693	4303	60.0194	NA	OK
SandIMIN	p2p-Gnutella31	100	20	LB	4895.69	595.174	4300.52	13.2665	NA	OK
SandIMIN	p2p-Gnutella31	100	20	UB	4895.69	947.986	3947.71	32.5814	0.241403	OK
SandIMIN	p2p-Gnutella31	100	20	OR	4895.69	794.943	4100.75	0.000208083	NA	OK
SandIMIN	p2p-Gnutella31	100	20	BEST	4926.25	581.044	4345.21	59.136	NA	OK
SandIMIN	p2p-Gnutella31	100	20	LB	4926.25	582.467	4343.79	22.2425	NA	OK
SandIMIN	p2p-Gnutella31	100	20	UB	4926.25	1320.92	3605.33	34.4049	0.202179	OK
SandIMIN	p2p-Gnutella31	100	20	OR	4926.25	799.074	4127.18	0.000861416	NA	OK
SandIMIN	p2p-Gnutella31	100	20	BEST	4952.79	556.085	4396.7	74.6762	NA	OK
SandIMIN	p2p-Gnutella31	100	20	LB	4952.79	557.588	4395.2	18.882	NA	OK
SandIMIN	p2p-Gnutella31	100	20	UB	4952.79	908.539	4044.25	41.714	0.227174	OK
SandIMIN	p2p-Gnutella31	100	20	OR	4952.79	791.294	4161.49	0.000228083	NA	OK
SandIMIN	p2p-Gnutella31	100	20	BEST	4919.17	547.031	4372.14	62.8156	NA	OK
SandIMIN	p2p-Gnutella31	100	20	LB	4919.17	545.415	4373.76	18.555	NA	OK
SandIMIN	p2p-Gnutella31	100	20	UB	4919.17	878.825	4040.35	35.5665	0.225296	OK
SandIMIN	p2p-Gnutella31	100	20	OR	4919.17	783.682	4135.49	0.000176459	NA	OK
SandIMIN	p2p-Gnutella31	100	20	BEST	4914.5	563.695	4350.8	78.5547	NA	OK
SandIMIN	p2p-Gnutella31	100	20	LB	4914.5	560.404	4354.09	24.3349	NA	OK
SandIMIN	p2p-Gnutella31	100	20	UB	4914.5	941.723	3972.77	50.3853	0.222865	OK
SandIMIN	p2p-Gnutella31	100	20	OR	4914.5	791.635	4122.86	0.00267025	NA	OK
SandIMIN	p2p-Gnutella31	100	20	BEST	4928.22	548.785	4379.43	64.8842	NA	OK
SandIMIN	p2p-Gnutella31	100	20	LB	4928.22	551.356	4376.86	23.3534	NA	OK
SandIMIN	p2p-Gnutella31	100	20	UB	4928.22	1303.85	3624.37	37.3515	0.197462	OK
SandIMIN	p2p-Gnutella31	100	20	OR	4928.22	791.911	4136.31	0.000359625	NA	OK
SandIMIN	p2p-Gnutella31	100	20	BEST	4908.32	575.859	4332.46	63.5615	NA	OK
SandIMIN	p2p-Gnutella31	100	20	LB	4908.32	574.749	4333.57	21.7434	NA	OK
SandIMIN	p2p-Gnutella31	100	20	UB	4908.32	1181.13	3727.19	32.1196	0.213979	OK
SandIMIN	p2p-Gnutella31	100	20	OR	4908.32	791.86	4116.46	0.000368333	NA	OK
SandIMIN	p2p-Gnutella31	100	20	BEST	4892.06	550.663	4341.4	73.659	NA	OK
SandIMIN	p2p-Gnutella31	100	20	LB	4892.06	551.743	4340.32	26.8205	NA	OK
SandIMIN	p2p-Gnutella31	100	20	UB	4892.06	1348.39	3543.67	41.8848	0.205493	OK
SandIMIN	p2p-Gnutella31	100	20	OR	4892.06	799.934	4092.13	0.000227416	NA	OK
